Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
3;Far Cry 4;http://assets2.ignimgs.com/2014/05/15/farcry4keyart1jpg-a2a692_160h.jpg;Shooter;PC PS4 Xbox 360 PS3 Xbox One;Ubisoft;Wolfenstein: The New Order;Call of Duty: Black Ops II;Counter-Strike: Global Offensive;Dark Souls II;Wolfenstein: The New Order;Thief;;;
3;A Mind Forever Voyaging;;Adventure;PC;Infocom;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
5;A Bird Story;http://media.ign.com/games/image/object/162/162140/A-Bird-Story_PCDLboxart_160h.jpg;RPG;PC;Freebird;Guild Wars 2;Dragon Age: Inquisition;WildStar;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6;Thief;http://assets2.ignimgs.com/2014/01/28/thiefboxpcjpg-e982c1_160h.jpg;Adventure;PC PS4 PS3 Xbox 360;Square;Daylight;Murdered: Soul Suspect;The Evil Within;Assassin's Creed III;Resident Evil 6;Middle-earth: Shadow of Mordor;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
7;The Last of Us: Remastered;http://assets2.ignimgs.com/2014/04/09/tlouremasteredjpg-0a606b_160h.jpg;Action;PS4 PS3;Sony;Infamous: Second Son;The Amazing Spider-Man 2;Batman: Arkham Knight;Infamous: Second Son;The Amazing Spider-Man 2;MLB 14: The Show;;;
8;Murdered: Soul Suspect;http://assets2.ignimgs.com/2014/04/01/murderedsoulsuspectps4jpg-0a5b5e_160h.jpg;Adventure;PS4 Xbox One PC PS3;Square;Daylight;The Evil Within;Among the Sleep;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
9;Halo 5: Guardians;http://assets1.ignimgs.com/2014/05/16/halo5guardiansrpjpg-958343_160h.jpg;Shooter;Xbox One;Microsoft;Titanfall;Evolve;Far Cry 4;Titanfall;Killer Instinct;Destiny;;;
10;Daylight;http://assets2.ignimgs.com/2013/06/20/daylightpc-dljpg-30bd9b_160h.jpg;Adventure;PC PS4;Atlus;Thief;Murdered: Soul Suspect;The Evil Within;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
11;H1Z1;http://assets1.ignimgs.com/2014/04/10/h1z1-buttonjpg-e3290d_160h.jpg;Action;PC;Sony;Dark Souls II;Alien: Isolation;Assassin's Creed III;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
12;Middle-earth: Shadow of Mordor;http://assets2.ignimgs.com/2014/04/02/shadowofmordorfobps3jpg-0a5bee_160h.jpg;Action;PS3 PC PS4 Xbox 360;Warner;Grand Theft Auto V;The Witch and the Hundred Knight;Assassin's Creed III;Grand Theft Auto V;Assassin's Creed III;Resident Evil 6;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster
13;A Bomb's Way;http://wirelessmedia.ign.com/wireless/image/object/143/14337253/a_bombs_way_xnaboxart_160h.jpg;Action;Xbox 360;Smudged;Watch Dogs;Diablo III;Assassin's Creed III;Watch Dogs;Diablo III;Borderlands 2;;;
14;Murdered: Soul Suspect;http://assets2.ignimgs.com/2014/04/01/murderedsoulsuspectpcjpg-0a5b5d_160h.jpg;Adventure;PC Xbox One PS4 PS3;Square;Thief;Daylight;The Evil Within;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
15;Titan Invasion;http://assets2.ignimgs.com/2014/02/19/titan-invasion-buttonjpg-5cc678_160h.jpg;Action;PS4 PS3 Vita;Curve;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
