Id;Band;Title;Cover;plays;Spotify;Albums;;;;;;;;
1;Coldplay ; Magic;http://userserve-ak.last.fm/serve/126/97289583.png;1216091;0BnKTeh47cpA6eAy8mzdX9;http://www.lastfm.it//music/Coldplay/Magic;http://www.lastfm.it//music/Coldplay/Ghost+Stories;http://www.lastfm.it//music/Various+Artists/BRAVO+Hits+85;;;;;;
2;Coldplay ; Every Teardrop Is a Waterfall;http://userserve-ak.last.fm/serve/126/88588967.png;4176466;0Bd5k6EDVq5GNmlkHjlpnq;http://www.lastfm.it//music/Coldplay/Mylo+Xyloto;http://www.lastfm.it//music/Coldplay/Every+Teardrop+Is+a+Waterfall;http://www.lastfm.it//music/+noredirect/Various/538+Hitzone+58;http://www.lastfm.it//music/Coldplay/iTunes+Festival:+London+2011;;;;;
3;Coldplay ; A Sky Full of Stars;http://userserve-ak.last.fm/serve/126/97289471.png;374304;5kU3t1oIrKmdkkgYu7oivk;0;;;;;;;;
4;Coldplay ; Charlie Brown;http://userserve-ak.last.fm/serve/126/88588967.png;2884519;0nn7xBV5bl9iLqxIls9uTG;http://www.lastfm.it//music/Coldplay/Mylo+Xyloto;http://www.lastfm.it//music/Coldplay/Live+In+Madrid;http://www.lastfm.it//music/Various+Artists/2013+Grammy+Nominees;http://www.lastfm.it//music/Various+Artists/NRJ+Hits+2013;;;;;
5;Coldplay ; Fix You;http://userserve-ak.last.fm/serve/126/88463793.png;11221166;0CSYseJuik9xh8jTAhfT36;http://www.lastfm.it//music/Coldplay/X&Y;http://www.lastfm.it//music/Coldplay/X+&+Y;http://www.lastfm.it//music/Coldplay/2005-07-13:+Peazza+Grande+Locarno,+Italy;http://www.lastfm.it//music/Coldplay/LeftRightLeftRightLeft;;;;;
6;Pharrell Williams ; Happy;http://userserve-ak.last.fm/serve/126/97463009.png;2580332;03KCqAgS1hnrRlciPKQ3NQ;http://www.lastfm.it//music/Pharrell+Williams/Girl;http://www.lastfm.it//music/Various+Artists/Despicable+Me+2;http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+Music!+50;http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+21st+Century;;;;;
7;Coldplay ; Hurts Like Heaven;http://userserve-ak.last.fm/serve/126/88588967.png;2233338;0niDbov9m9NNrRVh2HP6Uc;http://www.lastfm.it//music/Coldplay/Mylo+Xyloto;http://www.lastfm.it//music/Various+Artists/De+Afrekening,+Volume+54;http://www.lastfm.it//music/Various+Artists/Life+Is+Music+2012.2;http://www.lastfm.it//music/Various+Artists/3FM+-+36+Serious+Tracks;;;;;
8;Gorillaz ; Dirty Harry (PINEO Remix);http://cdn.last.fm/flatness/responsive/2/noimage/default_album_140_g2.png;5278;06oeDGKgmKMw4NRf45jaxe;0;;;;;;;;
9;Coldplay ; Major Minus;http://userserve-ak.last.fm/serve/126/88588967.png;1690681;1zDNxIuqtsct44iqHkABdg;http://www.lastfm.it//music/Coldplay/Mylo+Xyloto;http://www.lastfm.it//music/Coldplay/Every+Teardrop+Is+a+Waterfall;;;;;;;
10;Coldplay ; Us Against the World;http://userserve-ak.last.fm/serve/126/88588967.png;1714514;0e8c2dIeaO0X1IRymGYgzi;0;;;;;;;;
11;Arctic Monkeys ; Do I Wanna Know?;http://userserve-ak.last.fm/serve/126/92744747.png;4839183;0rR9tCeZYiU8ipAMLxW6ha;http://www.lastfm.it//music/Arctic+Monkeys/AM;http://www.lastfm.it//music/Arctic+Monkeys/Do+I+Wanna+Know%3F;http://www.lastfm.it//music/Arctic+Monkeys/iTunes+Festival:+London+2013;http://www.lastfm.it//music/Various+Artists/Musikexpress+Mixtape+2013+-+Die+Songs+des+Jahres;;;;;
12;OneRepublic ; Secrets;http://userserve-ak.last.fm/serve/126/41266413.png;3436661;0Mm8aRUro55t15bdrwMju2;http://www.lastfm.it//music/OneRepublic/Waking+Up;http://www.lastfm.it//music/OneRepublic/Secrets;http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+Music+Vol.+36;http://www.lastfm.it//music/Various+Artists/538+Hitzone+55;;;;;
13;Bastille ; Bad Blood;http://userserve-ak.last.fm/serve/126/91244823.png;1126085;0klY4q24bQ976eOE4leBDk;http://www.lastfm.it//music/Bastille/Bad+Blood;http://www.lastfm.it//music/Bastille/All+This+Bad+Blood;http://www.lastfm.it//music/Bastille/Bad+Blood+(The+Extended+Cut);http://www.lastfm.it//music/Bastille/Bad+Blood:+The+Extended+Cut;;;;;
14;Calvin Harris ; Summer;http://userserve-ak.last.fm/serve/126/97561221.png;569557;3ynXYYXPZPtcv8qflBYe28;0;;;;;;;;
15;Snow Patrol ; Called Out in the Dark;http://userserve-ak.last.fm/serve/126/73067830.png;990854;1eYtw8N2ho1IrKoG3scPIY;http://www.lastfm.it//music/Snow+Patrol/Fallen+Empires;http://www.lastfm.it//music/Snow+Patrol/Called+Out+In+The+Dark;http://www.lastfm.it//music/Snow+Patrol/Greatest+Hits;http://www.lastfm.it//music/Various+Artists/KFOG:+Live+From+the+Archives,+Volume+19;;;;;
16;The Fray ; Hold My Hand;http://userserve-ak.last.fm/serve/126/94901429.png;48180;3aJ8OhUeCybCDo2qdYfwDr;0;;;;;;;;
17;Imagine Dragons ; Hear Me;http://userserve-ak.last.fm/serve/126/87897873.png;1236606;1cu8LpQS2ab6G1xecdVGcI;http://www.lastfm.it//music/Imagine+Dragons/Night+Visions;http://www.lastfm.it//music/Imagine+Dragons/Hear+Me+EP;http://www.lastfm.it//music/Imagine+Dragons/Hell+and+Silence;http://www.lastfm.it//music/Imagine+Dragons/Live+At+Independent+Records;;;;;
18;Keane ; Somewhere Only We Know;http://userserve-ak.last.fm/serve/126/88261581.png;6225160;06OZAOUAxXxtUvtOMr3Qvt;http://www.lastfm.it//music/Keane/Hopes+and+Fears;http://www.lastfm.it//music/Keane/Somewhere+Only+We+Know;http://www.lastfm.it//music/Keane/Somewhere+Only+We+Know+(EP);http://www.lastfm.it//music/Keane/The+Best+of+Keane;;;;;
19;Lily Allen ; Air Balloon;http://userserve-ak.last.fm/serve/126/99128811.png;337657;0BmIb7qf0IIx9Lmvf6a28T;http://www.lastfm.it//music/Lily+Allen/Sheezus;http://www.lastfm.it//music/Lily+Allen/Air+Balloon;http://www.lastfm.it//music/Lily+Allen/Sheezus+(Special+Edition);http://www.lastfm.it//music/Various+Artists/BRAVO+Hits+85;;;;;
